city,district,name,tel,addr,owner,cel,visit_times,visit_lastdate
新北市,板橋區,經綸,02-8251-225,雙十路三段66巷1號,,,,
新北市,板橋區,光復,02-2954-666,光環路2段8~12號,,,,
新北市,板橋區,國光,02-29650299,國光路47號,,,,
新北市,板橋區,後埔,02-89524000,校前街46號,,,,
新北市,板橋區,沙崙,02-26821234,金門街215巷35號,,,,
新北市,汐止區,金龍,02-26958510,民族二街14.16號,,,,
新北市,汐止區,秀峰,02-2647-000,仁愛路89號,,,,
新北市,瑞芳區,瑞芳,02-24061666,民生街36-1號3樓,,,,
新北市,新店區,北新,02-89112218,寶橋路39號1樓,,,,
新北市,永和區,秀朗,02-89424029,得和路352號1樓,,,,
新北市,永和區,永平,02-86686789#9,仁愛路306巷18弄5號,,,,
新北市,土城區,頂埔,02-22696320,中央路四段298號2樓,,,,
新北市,土城區,樂利,02-82624237,學享街77-1號,,,,
新北市,三峽區,北大,02-26711920,國光街97號1樓,,,,
新北市,樹林區,文化,02-26851850,啟智街129-9號1樓,,,,
新北市,三重區,三興,02-89731459,大同南路146巷65號,,,,
新北市,三重區,碧華,02-28577498,溪尾街324號1.2樓,,,,
新北市,新莊區,昌隆,02-29982553,昌隆街86號,,,,
新北市,新莊區,新莊,02-29940675,中港路70號1樓,,,,
新北市,新莊區,中信,02-23696677,榮華路二段93號,,,,
新北市,新莊區,中港,02-29931394,中和街59巷20號,,,,
新北市,泰山區,明志,02-29089578,明志路三段175號2樓,,,,
新北市,泰山區,泰林,02-22978033,泰林路二段240號1樓,,,,
新北市,蘆洲區,傑出,02-22833083,中正路107號,,,,
新北市,蘆洲區,仁愛,02-82821969,水湳街28號1樓,,,,
新北市,蘆洲區,喬鈴,02-22835054,長安街111巷20號1樓,,,,
新北市,五股區,邦仁,02-2292-678,8登林路81之52號,,,,
新北市,淡水區,新興,02-26292402,新興街121巷41-43號,,,,
新北市,淡水區,新市,02-26206122,中山北路二段187號1樓,,,,
新北市,淡水區,竹圍,02-28095661,自強路369號1樓,,,,
臺北市,中正區,南海,02-23077316,寧波西街119號2樓,,,,
臺北市,中山區,大直,02-25331015,北安路595巷26號,,,,
臺北市,松山區,松山,02-27473528,八德路四段765號2樓,,,,
臺北市,松山區,民權,02-87878229,富錦街495號,,,,
臺北市,大安區,台大,02-23696951,羅斯福路三段135號6樓,,,,
臺北市,大安區,大安,02-27321277,和平東路三段228巷2號3樓,,,,
臺北市,萬華區,華理,02-23082827,台北市萬華區西園路2段109號1樓,,,,
臺北市,士林區,百齡,02-28801876,華齡街53號1樓,,,,
臺北市,士林區,天母,02-28371188,忠義街85號,,,,
臺北市,北投區,台北,02-28912245,中央北路一段68號3樓,,,,
臺北市,北投區,石牌,02-28287862,致遠二路3號1樓,,,,
臺北市,內湖區,東湖,02-26316018,東湖路113巷48-1號,,,, 
臺北市,文山區,木柵,02-29375351,木柵路三段85巷23弄18號1樓,,,,
